2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-03-30 21:49:15,211 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-30 21:49:15,232 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-30 21:49:15,249 | send | /adm/obj/1/xyz | [-1.0, -1.0, 0.663213849067688]
2026-03-30 21:49:15,271 | recv | /adm/obj/1/xyz | [-1.0, -1.0, 0.663213849067688]
2026-04-02 15:54:02,611 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 15:54:06,614 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-02 15:54:06,728 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-02 15:54:06,976 | send | /adm/obj/1/xyz | [1.0, -0.5543843507766724, 0.19677165150642395]
2026-04-02 15:54:07,033 | recv | /adm/obj/1/xyz | [1.0, -0.5543843507766724, 0.19677165150642395]
2026-04-02 15:54:59,862 | recv | /reward | [0.013935904949903488]
2026-04-02 15:54:59,869 | recv | /adm/obj/101/xyz | [0.17409566044807434, -0.3045736849308014, 0.0]
2026-04-02 15:54:59,885 | send | /adm/obj/1/xyz | [-0.08351979404687881, 0.21306976675987244, -0.3527294099330902]
2026-04-02 15:54:59,895 | recv | /adm/obj/1/xyz | [-0.08351979404687881, 0.21306976675987244, -0.3527294099330902]
2026-04-02 15:55:02,633 | recv | /reward | [0.922139048576355]
2026-04-02 15:55:02,635 | recv | /adm/obj/101/xyz | [0.428642213344574, -0.4474385976791382, 0.0]
2026-04-02 15:55:02,645 | send | /adm/obj/1/xyz | [-1.0, -0.33650869131088257, 0.026053525507450104]
2026-04-02 15:55:02,657 | recv | /adm/obj/1/xyz | [-1.0, -0.33650869131088257, 0.026053525507450104]
2026-04-02 15:55:07,750 | recv | /reward | [0.2314652055501938]
2026-04-02 15:55:07,751 | recv | /adm/obj/101/xyz | [0.08607450872659683, -0.4969410002231598, 0.0]
2026-04-02 15:55:07,761 | send | /adm/obj/1/xyz | [-0.2500555217266083, 0.5682997703552246, -0.3930162787437439]
2026-04-02 15:55:07,771 | recv | /adm/obj/1/xyz | [-0.2500555217266083, 0.5682997703552246, -0.3930162787437439]
2026-04-02 15:55:13,792 | recv | /reward | [0.2822464406490326]
2026-04-02 15:55:13,793 | recv | /adm/obj/101/xyz | [-0.07234885543584824, -0.6706178188323975, 0.0]
2026-04-02 15:55:13,804 | send | /adm/obj/1/xyz | [-0.5742995142936707, 0.265238493680954, 0.3640749156475067]
2026-04-02 15:55:13,812 | recv | /adm/obj/1/xyz | [-0.5742995142936707, 0.265238493680954, 0.3640749156475067]
2026-04-02 15:55:15,941 | recv | /reward | [0.2680862843990326]
2026-04-02 15:55:15,943 | recv | /adm/obj/101/xyz | [-0.38497215509414673, -0.7487806081771851, 0.0]
2026-04-02 15:55:15,953 | send | /adm/obj/1/xyz | [0.5243305563926697, -1.0, 0.8379712700843811]
2026-04-02 15:55:15,962 | recv | /adm/obj/1/xyz | [0.5243305563926697, -1.0, 0.8379712700843811]
2026-04-02 15:55:16,938 | recv | /reward | [0.913594126701355]
2026-04-02 15:55:16,939 | recv | /adm/obj/101/xyz | [-0.27707457542419434, -1.0, 0.0]
2026-04-02 15:55:16,952 | send | /adm/obj/1/xyz | [-1.0, 1.0, -0.6168873310089111]
2026-04-02 15:55:16,966 | recv | /adm/obj/1/xyz | [-1.0, 1.0, -0.6168873310089111]
2026-04-02 15:55:19,628 | recv | /reward | [-0.026835579425096512]
2026-04-02 15:55:19,629 | recv | /adm/obj/101/xyz | [0.14079737663269043, -0.9845489859580994, 0.0]
2026-04-02 15:55:19,646 | send | /adm/obj/1/xyz | [-0.6623813509941101, -0.5757796168327332, -1.0]
2026-04-02 15:55:19,656 | recv | /adm/obj/1/xyz | [-0.6623813509941101, -0.5757796168327332, -1.0]
2026-04-02 15:55:20,554 | recv | /reward | [0.536641001701355]
2026-04-02 15:55:20,555 | recv | /adm/obj/101/xyz | [0.11324986815452576, -0.9476239681243896, 0.0]
2026-04-02 15:55:20,566 | send | /adm/obj/1/xyz | [-1.0, -0.6681085228919983, -0.08545839786529541]
2026-04-02 15:55:20,576 | recv | /adm/obj/1/xyz | [-1.0, -0.6681085228919983, -0.08545839786529541]
2026-04-02 15:55:21,988 | recv | /reward | [0.3657425343990326]
2026-04-02 15:55:21,991 | recv | /adm/obj/101/xyz | [0.3508579134941101, -0.6480904817581177, 0.0]
2026-04-02 15:55:22,002 | send | /adm/obj/1/xyz | [-1.0, -0.42675989866256714, -0.5134121179580688]
2026-04-02 15:55:22,011 | recv | /adm/obj/1/xyz | [-1.0, -0.42675989866256714, -0.5134121179580688]
2026-04-02 15:55:23,421 | recv | /reward | [0.543721079826355]
2026-04-02 15:55:23,423 | recv | /adm/obj/101/xyz | [0.33908477425575256, -0.6582047939300537, 0.0]
2026-04-02 15:55:23,436 | send | /adm/obj/1/xyz | [0.4240685999393463, 1.0, 0.36342841386795044]
2026-04-02 15:55:23,445 | recv | /adm/obj/1/xyz | [0.4240685999393463, 1.0, 0.36342841386795044]
2026-04-02 15:55:25,469 | recv | /reward | [-0.1686812788248062]
2026-04-02 15:55:25,470 | recv | /adm/obj/101/xyz | [0.3163456320762634, -0.6596217751502991, 0.0]
2026-04-02 15:55:25,480 | send | /adm/obj/1/xyz | [0.6015267968177795, 0.007899582386016846, 0.15779466927051544]
2026-04-02 15:55:25,488 | recv | /adm/obj/1/xyz | [0.6015267968177795, 0.007899582386016846, 0.15779466927051544]
2026-04-02 15:55:26,597 | recv | /reward | [0.715840220451355]
2026-04-02 15:55:26,598 | recv | /adm/obj/101/xyz | [0.28575122356414795, -0.560971736907959, 0.0]
2026-04-02 15:55:26,608 | send | /adm/obj/1/xyz | [0.7960042357444763, -1.0, -1.0]
2026-04-02 15:55:26,618 | recv | /adm/obj/1/xyz | [0.7960042357444763, -1.0, -1.0]
2026-04-02 15:55:27,720 | recv | /reward | [0.629658579826355]
2026-04-02 15:55:27,722 | recv | /adm/obj/101/xyz | [0.5706279873847961, -0.33295169472694397, 0.0]
2026-04-02 15:55:27,732 | send | /adm/obj/1/xyz | [-1.0, 0.5930283665657043, -0.11843623965978622]
2026-04-02 15:55:27,739 | recv | /adm/obj/1/xyz | [-1.0, 0.5930283665657043, -0.11843623965978622]
2026-04-02 15:55:28,950 | recv | /reward | [-0.1877242475748062]
2026-04-02 15:55:28,952 | recv | /adm/obj/101/xyz | [0.7201952338218689, -0.09397387504577637, 0.0]
2026-04-02 15:55:28,962 | send | /adm/obj/1/xyz | [-0.6101118922233582, -0.251495897769928, -1.0]
2026-04-02 15:55:28,973 | recv | /adm/obj/1/xyz | [-0.6101118922233582, -0.251495897769928, -1.0]
2026-04-02 15:55:29,974 | recv | /reward | [-0.1354781538248062]
2026-04-02 15:55:29,977 | recv | /adm/obj/101/xyz | [0.5802476406097412, -0.15336257219314575, 0.0]
2026-04-02 15:55:29,988 | send | /adm/obj/1/xyz | [0.9961270093917847, 0.3240709900856018, 0.7775129675865173]
2026-04-02 15:55:29,996 | recv | /adm/obj/1/xyz | [0.9961270093917847, 0.3240709900856018, 0.7775129675865173]
2026-04-02 15:55:31,622 | recv | /reward | [0.713887095451355]
2026-04-02 15:55:31,624 | recv | /adm/obj/101/xyz | [0.546135663986206, -0.41103479266166687, 0.0]
2026-04-02 15:55:31,634 | send | /adm/obj/1/xyz | [-1.0, -0.08932594954967499, -1.0]
2026-04-02 15:55:31,642 | recv | /adm/obj/1/xyz | [-1.0, -0.08932594954967499, -1.0]
2026-04-02 15:55:33,046 | recv | /reward | [-0.2463179975748062]
2026-04-02 15:55:33,053 | recv | /adm/obj/101/xyz | [0.48977357149124146, -0.29322344064712524, 0.0]
2026-04-02 15:55:33,061 | send | /adm/obj/1/xyz | [0.47629091143608093, 0.3421502411365509, 0.9855833053588867]
2026-04-02 15:55:33,069 | recv | /adm/obj/1/xyz | [0.47629091143608093, 0.3421502411365509, 0.9855833053588867]
2026-04-02 15:55:33,887 | recv | /reward | [-0.2016402631998062]
